"X","id","priceLabel","name","brandId","brandName","imageLink","desc","vendor","striped","material"
275,453855264,129.42,"Hermès Vintage printed tie",1274,"Hermes","http://bim.shopstyle.com/pim/70/b6/70b6e62582485580bd5eccbe3c4f7b2c_best.jpg","Brown and blue silk printed tie from Hermès Vintage featuring a pointed tip. Please note that vintage items are not new and therefore might have minor imperfections. From 1990.","farfetch.com","_print","_silk"
430,461954062,95,"Hermès Tie",1274,"Hermes","http://bim.shopstyle.com/pim/a0/77/a077304472d33cd40d3e849293e14600_best.jpg","Men's yellow and multicolor Hermès printed silk tie with logo at end.","TheRealReal","_print","_silk"
435,462481157,95,"Hermès Tie",1274,"Hermes","http://bim.shopstyle.com/pim/d8/cf/d8cf77a616f46c590ea5341e5aa79b6f_best.jpg","Men's navy and multicolor Hermès silk tie with musician and mountain motif and logo at end.","TheRealReal","unknown","_silk"
436,462481158,95,"Hermès Tie",1274,"Hermes","http://bim.shopstyle.com/pim/a1/19/a119677a34d6562b6a31af73fab05c35_best.jpg","Men's navy and multicolor Hermès silk printed tie with logo at end.","TheRealReal","_print","_silk"
437,461789639,95,"Hermès Tie",1274,"Hermes","http://bim.shopstyle.com/pim/e0/91/e0917bbeeca590b1202d44527a603adb_best.jpg","Men's red and multicolor Hermès silk printed tie with logo at end.","TheRealReal","_print","_silk"
438,461789812,75,"Hermès Tie",1274,"Hermes","http://bim.shopstyle.com/pim/c3/dc/c3dc3fb5d85d1f16ef6870664b9b2c6d_best.jpg","Men's chocolate brown, periwinkle and saffron Hermès silk necktie with geometric print throughout.","TheRealReal","_print","_silk"
440,461790060,75,"Hermès Tie",1274,"Hermes","http://bim.shopstyle.com/pim/c3/b5/c3b52bf0bcb94f04f61da9e4c50b0afd_best.jpg","Men's taupe, blue and red Hermès silk necktie with horse motif throughout.","TheRealReal","unknown","_silk"
441,460880693,100,"Hermès Tie",1274,"Hermes","http://bim.shopstyle.com/pim/6c/69/6c69151c26c5a98a4c4464296c37908e_best.jpg","Men's white, black and pink Hermès silk tie with 'H' throughout and logo at end.","TheRealReal","unknown","_silk"
445,462482157,95,"Hermès Tie",1274,"Hermes","http://bim.shopstyle.com/pim/ec/c8/ecc832e5507d3075455c560d157f26ff_best.jpg","Men's salmon and multicolor Hermès silk tie with swirl motif and logo at end.","TheRealReal","unknown","_silk"
448,462636747,125,"Hermès Tie",1274,"Hermes","http://bim.shopstyle.com/pim/90/da/90dab1bd2b2de7f58244854edab938e5_best.jpg","Men's peach, burgundy and ivory Hermès silk necktie with stripes and layered H motif.","TheRealReal","_striped","_silk"
449,464135891,95,"Hermès Tie",1274,"Hermes","http://bim.shopstyle.com/pim/7b/ad/7bad7330bb898e541ca45276a2a1f20b_best.jpg","Men's green Hermès camel print necktie.","TheRealReal","_print","unknown"
450,464135893,95,"Hermès Tie",1274,"Hermes","http://bim.shopstyle.com/pim/9e/60/9e60a616a49ddd1707244896de503bc3_best.jpg","Men's mint green Hermès silk printed necktie.","TheRealReal","_print","_silk"
451,464138187,95,"Hermès Tie",1274,"Hermes","http://bim.shopstyle.com/pim/01/37/0137e3443457a2201827f8890ac3a6e9_best.jpg","Men's blue and multicolor Hermès woven printed silk tie with ornate pattern throughout.","TheRealReal","_print","_silk"
454,464972701,60,"Hermès Silk Tie",1274,"Hermes","http://bim.shopstyle.com/pim/85/a5/85a53efc9432d5adda709a063c68a37b_best.jpg","Men's orange, brown and multicolor Hermès silk tie with floral motif.","TheRealReal","unknown","_silk"
457,465078926,75,"Hermès Tie",1274,"Hermes","http://bim.shopstyle.com/pim/7d/3f/7d3f206d12606cb92b1f7efabdd90dcd_best.jpg","Men's sand, tan and multicolor Hermès silk necktie with rabbit motif.","TheRealReal","unknown","_silk"
466,444127316,124.19,"Hermès Vintage patterned tie",1274,"Hermes","http://bim.shopstyle.com/pim/1c/d3/1cd325b3c7676a0dcd30b1846c9396d5_best.jpg","Brown and yellow silk patterned tie from Hermès Vintage featuring a pointed tip and a printed logo. This item is true to fit.","farfetch.com","_print","_silk"
873,462552739,95,"Hermès Tie",1274,"Hermes","http://bim.shopstyle.com/pim/ad/1e/ad1ed5bfd36d9a8a2113b10a8518c1f6_best.jpg","Men's green, blue and purple Hermès silk necktie with stripes throughout.","TheRealReal","_striped","_silk"
874,462794072,95,"Hermès Tie",1274,"Hermes","http://bim.shopstyle.com/pim/b5/a0/b5a0f0e75dbf3e68843e924bb2ad269c_best.jpg","Men's mustard Hermès silk printed necktie.","TheRealReal","_print","_silk"
875,462794195,75,"Hermès Tie",1274,"Hermes","http://bim.shopstyle.com/pim/d8/0a/d80aac034caf37da7082b2a01ac752e8_best.jpg","Men's green, yellow and multicolor Hermès silk necktie with rope motif.","TheRealReal","unknown","_silk"
876,462908162,95,"Hermès Tie",1274,"Hermes","http://bim.shopstyle.com/pim/81/0c/810c38d7d2f1e05a4d1afda876c771dc_best.jpg","Men's yellow and taupe Hermès silk printed necktie.","TheRealReal","_print","_silk"
880,461789304,95,"Hermès Tie",1274,"Hermes","http://bim.shopstyle.com/pim/29/a8/29a8675dc57c3a24f8cb7bbc9f555353_best.jpg","Men's Hermès gold, brown and multicolor circular print silk tie.","TheRealReal","_print","_silk"
883,461789455,95,"Hermès Tie",1274,"Hermes","http://bim.shopstyle.com/pim/46/93/469349dd2f07fd5fcd0bd0807260a73a_best.jpg","Men's burgundy Hermès tie with golf course motif.","TheRealReal","unknown","unknown"
884,461789519,95,"Hermès Necktie",1274,"Hermes","http://bim.shopstyle.com/pim/76/f7/76f7ee5a66eea392a2144febe0272fe8_best.jpg","Men's blue and multicolor Hermès woven printed silk necktie with leaf design throughout.","TheRealReal","_print","_silk"
885,461789526,95,"Hermès Tie",1274,"Hermes","http://bim.shopstyle.com/pim/99/33/9933641c632d85e18ccb9da9d8fdeffb_best.jpg","Men's blue and green Hermès silk tie.","TheRealReal","unknown","_silk"
888,461789815,95,"Hermès Tie",1274,"Hermes","http://bim.shopstyle.com/pim/e1/01/e1019c8d1c4c173958de7e2c7d606143_best.jpg","Men's grass Hermès silk dot print necktie.","TheRealReal","_print","_silk"
890,461789828,95,"Hermès Tie",1274,"Hermes","http://bim.shopstyle.com/pim/51/26/51263cb50970c89d809a6c80427cb839_best.jpg","Men's yellow and multicolor Hermès printed silk tie with logo at end.","TheRealReal","_print","_silk"
891,461789830,95,"Hermès Tie",1274,"Hermes","http://bim.shopstyle.com/pim/d4/89/d4893dd6dc977d6701f5473e5cd52e95_best.jpg","Men's yellow and multicolor Hermès silk tie with wreath motif and logo at end.","TheRealReal","unknown","_silk"
893,461789882,95,"Hermès Tie",1274,"Hermes","http://bim.shopstyle.com/pim/a8/eb/a8eb00c7f53cc8fb1f98c70db8aae380_best.jpg","Men's yellow Hermès silk printed necktie.","TheRealReal","_print","_silk"
894,461789968,75,"Hermès Tie",1274,"Hermes","http://bim.shopstyle.com/pim/fc/88/fc88ee38a367ae5bcba5829c6ee428aa_best.jpg","Men's green, yellow and navy Hermès silk necktie with geometric print throughout.","TheRealReal","_print","_silk"
895,461790054,95,"Hermès Silk Tie",1274,"Hermes","http://bim.shopstyle.com/pim/de/af/deaf6c56085c191c5ca65af50d067b5f_best.jpg","Men's green and cream Hermès silk striped necktie.","TheRealReal","_striped","_silk"
900,462481942,75,"Hermès Tie",1274,"Hermes","http://bim.shopstyle.com/pim/fe/8c/fe8c5ce4a422ad22f611c5a7e7647bb3_best.jpg","Men's navy, burgundy and multicolor Hermès silk necktie with tropical motif.","TheRealReal","unknown","_silk"
908,464138535,95,"Hermès Tie",1274,"Hermes","http://bim.shopstyle.com/pim/a1/73/a173c825f75bc67c060815440be6745f_best.jpg","Men's ice blue, burgundy and multicolor Hermès silk necktie with harvest motif.","TheRealReal","unknown","_silk"
910,461793081,95,"Hermès Tie",1274,"Hermes","http://bim.shopstyle.com/pim/08/40/084021e65de620459a5c3bd551243d4d_best.jpg","Men's navy and multicolor Hermès silk tie with horse motif and logo at end.","TheRealReal","unknown","_silk"
911,464715532,75,"Hermès Tie",1274,"Hermes","http://bim.shopstyle.com/pim/a1/26/a126b5fb84763d78adcd0ba7d932abd2_best.jpg","Men's pale yellow Hermès silk embroidered necktie.","TheRealReal","unknown","_silk"
919,465700278,75,"Hermès Tie",1274,"Hermes","http://bim.shopstyle.com/pim/24/97/249759d10352ec9d6cb36595fef18864_best.jpg","Men's navy, white and multicolor Hermès silk necktie with sailboat motif.","TheRealReal","unknown","_silk"
921,461789542,95,"Hermès Tie",1274,"Hermes","http://bim.shopstyle.com/pim/79/49/79493ad9b06c2034f5b031fbd65f56bd_best.jpg","Men's green Hermès silk print tie.","TheRealReal","_print","_silk"
1015,462309773,105.01,"Hermès Vintage jacquard tie",1274,"Hermes","http://bim.shopstyle.com/pim/2a/1d/2a1d8b0d7016cef5ba8a3a2c90d8164c_best.jpg","Grey and orange silk jacquard tie from Hermès Vintage circa 1990 featuring a pointed tip and a logo tag to the rear. Please note that vintage items are not new and therefore might have minor imperfections.","farfetch.com","unknown","_silk"
1070,444128461,124.19,"Hermès Vintage striped tie",1274,"Hermes","http://bim.shopstyle.com/pim/40/8f/408f4daae1848a5966b88e0a8d526a37_best.jpg","Bordeaux silk tie from Hermès Vintage featuring a tonal striped print, a pointed tip and a printed logo. Please note that vintage items are not new and therefore might have minor imperfections. This item fits true to size.","farfetch.com","_striped","_silk"
1086,444128587,124.19,"Hermès Vintage patterned tie",1274,"Hermes","http://bim.shopstyle.com/pim/a5/2a/a52ad0708e56f7b8e87f42b1bb8a5836_best.jpg","Brown and green silk patterned tie from Hermès Vintage featuring a pointed tip and a printed logo. This item is true to fit.","farfetch.com","_print","_silk"
1155,465879936,128.58,"Hermès Vintage geometric pattern tie",1274,"Hermes","http://bim.shopstyle.com/pim/0d/98/0d98b60bbf5d875d00a9ba85da81cf8b_best.jpg","Tonal blue silk geometric pattern tie from Hermès Vintage. Please note that vintage items are not new and therefore might have minor imperfections.","farfetch.com","unknown","_silk"
2738,462907285,75,"Hermès Tie",1274,"Hermes","http://bim.shopstyle.com/pim/8b/9e/8b9eae2da1ac9f43efabb76c808bb69c_best.jpg","Men's navy blue Hermès cherry print necktie.","TheRealReal","_print","unknown"
2741,461789130,125,"Hermès Ascot",1274,"Hermes","http://bim.shopstyle.com/pim/fa/31/fa31c314b4176f302a53f335e4590da2_best.jpg","Beige silk ascot with center pleating","TheRealReal","unknown","_silk"
2759,461789845,95,"Hermès Tie",1274,"Hermes","http://bim.shopstyle.com/pim/50/47/50473e9934c8846c1e1ea67d4685005d_best.jpg","Men's lime, blue and orange Hermès silk stripe necktie.","TheRealReal","_striped","_silk"
2761,461789900,95,"Hermès Tie",1274,"Hermes","http://bim.shopstyle.com/pim/f0/70/f070d2c099a7f7a956b9a7434348c95c_best.jpg","Men's gold Hermès silk fish print necktie.","TheRealReal","_print","_silk"
2762,461789909,95,"Hermès Tie",1274,"Hermes","http://bim.shopstyle.com/pim/1d/a7/1da78b2408a966ed39b7b36d7cc50800_best.jpg","Men's yellow Hermès silk printed necktie.","TheRealReal","_print","_silk"
2763,461789953,75,"Hermès Tie",1274,"Hermes","http://bim.shopstyle.com/pim/87/ee/87eec7340143ad074018bb8a4efd80a5_best.jpg","Men's crimson, bone and black Hermès silk necktie with geometric print throughout.","TheRealReal","_print","_silk"
2764,461789997,95,"Hermès Tie",1274,"Hermes","http://bim.shopstyle.com/pim/21/50/2150714f70fd8d1b1d28867ded489249_best.jpg","Men's lime and pistachio Hermès printed silk tie with 'H' throughout and logo at end.","TheRealReal","_print","_silk"
2765,461790057,95,"Hermès Tie",1274,"Hermes","http://bim.shopstyle.com/pim/5a/dc/5adccf14b4bb81f8594875e589d75b50_best.jpg","Men's deep pink, saffron and taupe Hermès silk necktie with geometric print throughout.","TheRealReal","_print","_silk"
2766,461790058,95,"Hermès Tie",1274,"Hermes","http://bim.shopstyle.com/pim/05/22/0522feb112bb3db04e920f4d4c1e375f_best.jpg","Men's red, blue and yellow Hermès silk necktie with geometric print throughout.","TheRealReal","_print","_silk"
2767,461790059,95,"Hermès Tie",1274,"Hermes","http://bim.shopstyle.com/pim/2e/73/2e735a630bafd4d07b4aa3e4948a3732_best.jpg","Men's raisin, bone and multicolor Hermès silk necktie with geometric print throughout.","TheRealReal","_print","_silk"
2768,461790061,95,"Hermès Tie",1274,"Hermes","http://bim.shopstyle.com/pim/96/fa/96fa25c91c23398baa5f693275ba0069_best.jpg","Men's steel blue, navy and multicolor Hermès silk necktie with geometric print throughout.","TheRealReal","_print","_silk"
2769,461790062,95,"Hermès Tie",1274,"Hermes","http://bim.shopstyle.com/pim/34/3c/343c2bcb8ed460b47ea44c4dd99db410_best.jpg","Men's blue, green and multicolor Hermès silk necktie with horse motif.","TheRealReal","unknown","_silk"
2770,461790065,95,"Hermès Tie",1274,"Hermes","http://bim.shopstyle.com/pim/b1/97/b1975357c72f2434a980cfc1693a5497_best.jpg","Men's red, blue and multicolor Hermès printed Silk Necktie.","TheRealReal","_print","unknown"
2772,461790344,75,"Hermès Tie",1274,"Hermes","http://bim.shopstyle.com/pim/69/fe/69fe40a1264498aa7b2a20461417fb3e_best.jpg","Men's blue, yellow and red Hermès silk printed necktie.","TheRealReal","_print","_silk"
2773,462481335,75,"Hermès Tie",1274,"Hermes","http://bim.shopstyle.com/pim/44/cb/44cb2bc969b175dbc72e5f5d51c5470b_best.jpg","Men's yellow and multicolor Hermès printed silk tie with logo at end.","TheRealReal","_print","_silk"
2779,462481424,75,"Hermès Silk Tie",1274,"Hermes","http://bim.shopstyle.com/pim/55/d3/55d363caf9e74b7c1a9cd57c4ecdb6ea_best.jpg","Men's blue and gold Hermès printed silk tie.","TheRealReal","_print","_silk"
2788,462481665,60,"Hermès Tie",1274,"Hermes","http://bim.shopstyle.com/pim/90/ba/90ba4222e2ac04cb7c7a272105ee82ce_best.jpg","Men's burgundy, blue and multicolor Hermès silk necktie with French Flag motif.","TheRealReal","unknown","_silk"
2805,462481943,100,"Hermès Tie",1274,"Hermes","http://bim.shopstyle.com/pim/bf/45/bf451241238863e1b1a228a164d80391_best.jpg","Men's red, sand and multicolor Hermès silk necktie with Egyptian motif.","TheRealReal","unknown","_silk"
2807,461792571,75,"Hermès Tie",1274,"Hermes","http://bim.shopstyle.com/pim/5b/d9/5bd97476242e77ca36e835b2a841a81b_best.jpg","Men's brown and blue silk Hermès tie with dolphin motif.","TheRealReal","unknown","_silk"
2810,461792659,75,"Hermès Tie",1274,"Hermes","http://bim.shopstyle.com/pim/06/aa/06aa8ee2e8f93030b35e4f3d758a0bff_best.jpg","Men's beige Hermès silk printed necktie.","TheRealReal","_print","_silk"
2814,462482099,100,"Hermès Tie",1274,"Hermes","http://bim.shopstyle.com/pim/4c/bb/4cbb044bf338463bda30000b9b5000d0_best.jpg","Men's moss Hermès silk necktie with H motif.","TheRealReal","unknown","_silk"
2818,462482120,95,"Hermès Tie",1274,"Hermes","http://bim.shopstyle.com/pim/8f/28/8f2875956bbb4b2b1c7bb81d13fa2f6d_best.jpg","Men's vermillion, saffron and multicolor Hermès silk necktie with geometric tribal motif.","TheRealReal","unknown","_silk"
2820,461792909,95,"Hermès Tie",1274,"Hermes","http://bim.shopstyle.com/pim/43/10/4310260a6bc9ff3b3c66aca55437680b_best.jpg","Men's Blue and multicolor Hermès printed silk tie with logo at end.","TheRealReal","_print","_silk"
2821,461792952,95,"Hermès Tie",1274,"Hermes","http://bim.shopstyle.com/pim/56/52/5652c5d867f66fbd7b6d998c97f6d770_best.jpg","Men's yellow and multicolor Hermès printed silk tie with logo at end.","TheRealReal","_print","_silk"
2825,462482155,95,"Hermès Tie",1274,"Hermes","http://bim.shopstyle.com/pim/e6/6e/e66ebbcef96342e67621f02d2453391b_best.jpg","Men's yellow and multicolor Hermès printed silk tie with logo at end.","TheRealReal","_print","_silk"
2826,462482253,95,"Hermès Tie",1274,"Hermes","http://bim.shopstyle.com/pim/a9/ce/a9ce3cf921d9d90fc8785710c34ba1e7_best.jpg","Men's golden brown, red and blue Hermès silk necktie with camel motif.","TheRealReal","unknown","_silk"
2834,462481330,95,"Hermès Silk Necktie",1274,"Hermes","http://bim.shopstyle.com/pim/5a/cf/5acfe5d1d7647896621b7788cc9ca74d_best.jpg","Men's chocolate brown and pink Hermès silk necktie with abstract print throughout.","TheRealReal","_print","_silk"
2875,462636746,95,"Hermès Tie",1274,"Hermes","http://bim.shopstyle.com/pim/f0/fc/f0fce9955a5e07348850be684e3f5b39_best.jpg","Men's yellow, green and multicolor Hermès silk necktie with floral motif.","TheRealReal","unknown","_silk"
2876,462488826,75,"Hermès Tie",1274,"Hermes","http://bim.shopstyle.com/pim/f6/9f/f69fc146316e1dfb313df40341a40163_best.jpg","Men's brown and steel blue Hermès silk necktie with clover leaf motif.","TheRealReal","unknown","_silk"
2877,462552676,75,"Hermès Tie",1274,"Hermes","http://bim.shopstyle.com/pim/51/c9/51c97a1ca390dd1161bcacdc78913c5c_best.jpg","Men's red, green and multicolor Hermès silk necktie with anchor motif.","TheRealReal","unknown","_silk"
2888,462187765,95,"Hermès Tie",1274,"Hermes","http://bim.shopstyle.com/pim/a8/a1/a8a1429f4845088a10cad56c9365bde9_best.jpg","Men's midnight blue Hermès woven silk necktie.","TheRealReal","unknown","_silk"
2901,464131454,95,"Hermès Tie",1274,"Hermes","http://bim.shopstyle.com/pim/cd/9b/cd9baac912388c6a72579ef171590ea3_best.jpg","Men's red, steel blue and multicolor Hermès silk necktie with boat motif.","TheRealReal","unknown","_silk"
2902,464131455,75,"Hermès Tie",1274,"Hermes","http://bim.shopstyle.com/pim/0e/9b/0e9bcd4ea695bebb016b804761051c8c_best.jpg","Men's dark pink, steel blue and grey Hermès silk necktie with chain motif.","TheRealReal","unknown","_silk"
2903,464131457,75,"Hermès Tie",1274,"Hermes","http://bim.shopstyle.com/pim/03/0a/030aaac1ba32b4f53d883561bb2332f6_best.jpg","Men's navy, pink and multicolor Hermès silk necktie with jockey motif.","TheRealReal","unknown","_silk"
2904,464131458,75,"Hermès Tie",1274,"Hermes","http://bim.shopstyle.com/pim/f2/02/f20259936b0d2d99574145b28707ca85_best.jpg","Men's violet, tan and midnight blue Hermès silk necktie with kayak motif.","TheRealReal","unknown","_silk"
